Código do Município;Município;Estado;Região;Região Metropolitana;Ano de Referência;Código do Prestador;Prestador;Sigla do Prestador;Natureza Jurídica;POP_TOT - População total do município (Fonte: IBGE):;POP_URB - População urbana do município (Fonte: IBGE);CS001 - Existe coleta seletiva formalizada pela prefeitura no município?;CS050 - População urbana do município atendida com a coleta seletiva do tipo porta a porta executada pela Prefeitura (ou SLU);FN201 - A Prefeitura (Prestadora) cobra pelos serviços de coleta regular, transporte e destinação final de RSU (Antigo campo GE012);FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007);FN221 - Receita orçada com a cobrança de taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE005);FN222 - Receita arrecadada com taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE006);FN223 - Despesa Corrente da Prefeitura durante o ano com TODOS os serviços do município (saúde, educação, pagamento de pessoal, etc.). (Antigo campo GE010);FN224 - A Prefeitura recebeu algum recurso federal para aplicação no setor de manejo de RSU? (Antigo campo GE025);FN225 - Valor repassado (Antigo campo GE026);FN226 - Tipo de recurso (Antigo campo GE028);PO021 - O município definiu mecanismos de participação e controle social?;PO036 - Limpeza pública e manejo de resíduos sólidos;PO040 - As metas do plano para os resíduos sólidos estão sendo alcançadas?;PO042 - O município é integrante de algum CONSÓRCIO INTERMUNICIPAL regulamentado pela Lei nº 11.107/2005 que tenha entre suas atribuições específicas a gestão ou prestação de um ou mais serviços de manejo de RSU (serviços de coleta de resíduos domiciliares ou públicos, operações de aterro sanitário etc.);PO044 - Qual o ano de adesão do município ao referido consórcio intermunicipal?;PO048 - O Município possui Plano Municipal de Gestão Integrada de Resíduos Sólidos (PMGIRS) conforme a Lei nº 12.305/2010 que trata da Política Nacional de Resíduos Sólidos?;PO049 - Quando foi aprovado?;PO050 - O Plano de Gestão de Resíduos Sólidos referido anteriormente é individualizado (somente para o município) ou é intermunicipal (regional) contemplando também outros municípios? ATENÇÃO: Não considerar o Plano Estadual como resposta!!!;PO051 - Quais os demais municípios abrangidos pelo Plano de Gestão [Regional]?;TB014 - Quantidade de trabalhadores de agentes privados envolvidos nos serviços de manejo de RSU (Antigo campo GE016);IN006 - Despesa per capita com manejo de rsu em relação à população urbana
270090;Belo Monte;AL;Nordeste    ;;2020;27009040;Prefeitura Municipal de Belo Monte;PMBM;Administração pública direta;6.710;1.118;Não;;Não;365.002,00;;;25.318.738,37;Não;;;Sim;Sim;Não;Sim;;Sim;mar/12;Municipal;;1;326,48
270100;Boca da Mata;AL;Nordeste    ;;2020;27010040;SECRETARIA MUNICIPAL DE INFRAESTRUTURA;SEINFRA;Administração pública direta;27.356;18.520;Não;;Não;1.477.207,75;;;89.764.586,34;Não;;;;;;Não;;Não;;;;10;79,76
270110;Branquinha;AL;Nordeste    ;;2020;27011040;Prefeitura Municipal Branquinha;PMB;Administração pública direta;10.460;6.595;Não;;Não;129.011,73;;;57.815.000,00;Não;;;;;;Sim;;Não;;;;0;19,56
270120;Cacimbinhas;AL;Nordeste    ;;2020;27012040;Prefeitura Municipal de Cacimbinhas;PMC;Administração pública direta;10.889;5.770;Não;;Não;1.847.996,27;;;43.540.716,71;Não;;;Sim;Sim;;Sim;;Não;;;;23;320,28
270130;Cajueiro;AL;Nordeste    ;;2020;27013040;Prefeitura Municipal;PMC;Administração pública direta;21.331;17.229;Não;;Sim;501.600,00;;20.702,34;77.166.985,25;Não;;;;;;Sim;;Não;;;;0;29,11
270135;Campestre;AL;Nordeste    ;;2020;27013540;Prefeitura Municipal de Campestre;PMC;Administração pública direta;6.954;5.839;Não;;Não;432.869,28;;;23.614.777,22;;;;;;;Não;;Não;;;;4;74,13
270140;Campo Alegre;AL;Nordeste    ;;2020;27014040;SECRETARIA DE UBANISMO E SERVIÇOS PÚBLICOS;SMUSP;Administração pública direta;57.537;25.092;Sim;12.000;Não;1.978.443,31;;;298.553.583,00;;;;;;;Não;;Não;;;;0;78,85
270160;Canapi;AL;Nordeste    ;;2020;27016040;PREFEITURA MUNICIPAL DE CANAPI;PMC;Administração pública direta;17.719;5.689;Não;;Não;100.000,00;;;49.000.000,00;Não;;;;;;Sim;;Sim;dez/16;Intermunicipal;[8 municípios]: Canapi - AL, Olho d Água do Casado - AL, Inhapi - AL, Pariconha - AL, Mata Grande - AL, Piranhas - AL, Água Branca - AL, Delmiro Gouveia - AL;0;17,58
270170;Capela;AL;Nordeste    ;;2020;27017040;SECRETARIA MUNICIPAL DE INFRA ESTRUTURA;SEINFRA;Administração pública direta;16.979;12.577;Não;;Não;207.000,00;;;59.043.134,72;Não;;;Não;Sim;Sim;Não;;Sim;out/16;Intermunicipal;[13 municípios]: Ibateguara - AL, Branquinha - AL, Murici - AL, Cajueiro - AL, São José da Laje - AL, Pindoba - AL, Santana do Mundaú - AL, Viçosa - AL, Mar Vermelho - AL, Paulo Jacinto - AL, União dos Palmares - AL, Chã Preta - AL, Atalaia - AL;0;16,46
270190;Chã Preta;AL;Nordeste    ;;2020;27019040;Prefeitura Municipal;PM;Administração pública direta;7.311;4.592;Não;;Não;220.114,04;;;24.279.023,88;;;;;;;Sim;;Não;;;;2;47,93
270200;Coité do Nóia;AL;Nordeste    ;RM Agreste;2020;27020040;Prefeitura Municipal de Coité do Nóia;PMCN;Administração pública direta;10.643;3.640;Não;;Não;393.960,19;;;34.271.433,04;Não;;;;;;Sim;;Não;;;;0;108,23
270220;Coqueiro Seco;AL;Nordeste    ;RM Maceió;2020;27022040;Prefeitura Municipal de Coqueiro Seco;PMCS;Administração pública direta;5.864;5.277;Não;;Sim;1.138.664,00;15.994,00;959,64;31.631.616,92;Não;;;;;;Sim;;Sim;out/16;Intermunicipal;[9 municípios]: Barra de Santo Antônio - AL, Pilar - AL, Messias - AL, Rio Largo - AL, Satuba - AL, Coqueiro Seco - AL, Marechal Deodoro - AL, Paripueira - AL, Santa Luzia do Norte - AL;0;215,78
270230;Coruripe;AL;Nordeste    ;;2020;27023040;SECRETARIA MUNICIPAL DE LIMPEZA PÚBLICA;SMLP;Administração pública direta;57.294;50.604;Sim;35.000;Não;3.480.265,14;;;250.000.000,00;;;;Não;;;Não;;Não;;;;0;68,77
270235;Craíbas;AL;Nordeste    ;RM Agreste;2020;27023540;Prefeitura Municipal de Craíbas;PMC;Administração pública direta;24.309;7.868;Não;;Não;446.556,00;;;79.213.221,85;Não;;;;;;Não;;Sim;;Intermunicipal;;0;56,76
270240;Delmiro Gouveia;AL;Nordeste    ;;2020;27024040;prefeitura municipal de Delmiro Gouveia;pmdg;Administração pública direta;52.262;37.873;Sim;11.200;Não;1.990.012,80;;;120.135.847,00;;;;;;;Sim;;Sim;;Intermunicipal;[6 municípios]: Canapi - AL, Olho d Água das Flores - AL, Inhapi - AL, Pariconha - AL, Mata Grande - AL, Piranhas - AL;6;52,54
270250;Dois Riachos;AL;Nordeste    ;;2020;27025040;Prefeitura Municipal de Dois Riachos;PMDR;Administração pública direta;11.067;5.172;Não;;Não;1.151.236,00;;;32.786.598,00;;;;;Sim;;Sim;;Não;;;;0;222,59
270255;Estrela de Alagoas;AL;Nordeste    ;RM Agreste;2020;27025540;Prefeitura Municipal de Estrela de Alagoas;PMEA;Administração pública direta;18.255;4.263;Não;;Não;251.000,00;;;51.052.633,72;Não;;;;;;Sim;;Não;;;;0;58,88
270260;Feira Grande;AL;Nordeste    ;RM Agreste;2020;27026040;Secretaria Municipal de Obras e Infraestrutura;SMO;Administração pública direta;22.178;3.559;Não;;Não;636.000,00;;;25.000.000,00;Não;;;;;;Não;;Não;;;;4;178,7
270280;Flexeiras;AL;Nordeste    ;;2020;27028040;Prefeitura Municipal de Flexeiras;PMF;Administração pública direta;12.807;8.331;Não;;Não;1.144.972,85;;;37.662.386,44;Não;;;;;;Sim;;Não;;;;0;137,44
270290;Girau do Ponciano;AL;Nordeste    ;RM Agreste;2020;27029040;Prefeitura Municipal de Girau do Ponciano;PMGP;Administração pública direta;41.237;12.729;Não;;Não;1.106.280,00;;;69.198.245,03;Não;;;;;;Sim;;Não;;;;0;86,91
270300;Ibateguara;AL;Nordeste    ;;2020;27030040;PREFEITURA MUNICIPAL DE IBATEGUARA;PMI;Administração pública direta;15.627;9.630;Não;;Não;688.028,74;;;47.761.108,00;Não;;;Sim;Sim;Não;Sim;;Sim;;Intermunicipal;;1;71,45
270310;Igaci;AL;Nordeste    ;RM Agreste;2020;27031040;PREFEITURA MUNICIPAL DE IGACI;PM;Administração pública direta;25.613;6.288;Sim;3.100;Não;2.324.267,76;;;68.325.175,65;Não;;;;;;Sim;;Não;;;;52;369,64
270320;Igreja Nova;AL;Nordeste    ;;2020;27032040;prefeitura municipal de igreja nova;PMIN;Administração pública direta;24.586;5.040;Não;;Não;222.987,32;;;41.030.121,31;Não;;;Não;Sim;Sim;Não;;Não;;;;0;44,24
270330;Inhapi;AL;Nordeste    ;;2020;27033040;Prefeitura Municipal de Inhapi (Secretaria de Obras);P.M.I;Administração pública direta;18.392;6.884;Sim;3.000;Não;1.123.305,76;;;40.963.752,44;Não;;;Sim;Sim;Sim;Sim;;Sim;jan/17;Intermunicipal;[8 municípios]: Canapi - AL, Olho d Água do Casado - AL, Pariconha - AL, Inhapi - AL, Mata Grande - AL, Piranhas - AL, Água Branca - AL, Delmiro Gouveia - AL;17;163,18
270340;Jacaré dos Homens;AL;Nordeste    ;;2020;27034040;Prefeitura Municipal de Jacaré Dos Homens;PMJH;Administração pública direta;5.219;2.923;Não;;Não;706.318,00;;;17.657.965,00;;;;;;;Sim;;Não;;;;0;241,64
270350;Jacuípe;AL;Nordeste    ;;2020;27035040;secretaria municipal de infraestrutura, transportes e serviços públicos;SMITSP;Administração pública direta;7.006;4.361;Não;;Não;1.224.915,88;;;26.901.774,19;Não;;;;;;Sim;;Não;;;;12;280,88
270360;Japaratinga;AL;Nordeste    ;;2020;27036040;Prefeitura Municipal de Japaratinga;PMJ;Administração pública direta;8.403;3.585;Não;;Não;560.000,00;;;20.826.600,36;Não;;;;;;Não;;Não;;;;1;156,21
270370;Jaramataia;AL;Nordeste    ;RM Agreste;2020;27037040;Prefeitura Municipal de Jaramataia;PMJ;Administração pública direta;5.761;3.019;Não;;Não;172.000,00;;;35.000.000,00;Não;;;;;;Sim;;Não;;;;0;56,97
270375;Jequiá da Praia;AL;Nordeste    ;;2020;27037540;Prefeitura Municipal de Jequiá da Praia;PMJP;Administração pública direta;11.536;2.761;Não;;Não;948.000,00;;;59.083.235,44;Não;;;;;;Não;;Não;;;;0;343,35
270380;Joaquim Gomes;AL;Nordeste    ;;2020;27038040;Prefeitura Municipal de Joaquim Gomes;PMJG;Administração pública direta;24.081;15.443;Não;;Não;897.600,00;;;4.745.572,96;Não;;;;;;Não;;Não;jun/18;Intermunicipal;;0;58,12
270390;Jundiá;AL;Nordeste    ;;2020;27039040;Prefeitura Municipal de Jundiá;PMJ;Administração pública direta;4.137;2.783;Não;;Não;112.056,44;;;21.908.833,21;Não;;;;;;Sim;;Não;;;;12;40,26
270400;Junqueiro;AL;Nordeste    ;RM Agreste;2020;27040040;PREFEITURA MUNICIPAL DE JUNQUEIRO;PMJ;Administração pública direta;24.722;8.093;Não;;Não;1.231.508,00;;;20.000.000,00;Não;;;;;;Sim;;Sim;dez/16;Intermunicipal;[5 municípios]: Campo Alegre - AL, Teotônio Vilela - AL, Penedo - AL, Igreja Nova - AL, Piaçabuçu - AL;0;152,17
270420;Limoeiro de Anadia;AL;Nordeste    ;RM Agreste;2020;27042040;Prefeitura Municipal de Limoeiro de Anadia;PMLA;Administração pública direta;28.771;2.394;Não;;Não;230.000,00;;;15.000.000,00;Não;;;;;;Sim;;Não;;;;0;96,07
270430;Maceió;AL;Nordeste    ;RM Maceió;2020;27043040;Superintendência Municipal de Desenvolvimento Sustentável;SUDES;Autarquia;1.025.360;1.024.680;Sim;205.432;Sim;143.807.679,88;18.647.023,74;18.647.023,74;2.350.524.304,00;Não;;;;;;Não;;Sim;;Municipal;;1.393;140,34
270450;Maragogi;AL;Nordeste    ;;2020;27045040;Prefeitura Municipal de Maragogi;PMM;Autarquia;33.032;21.400;Não;;Não;6.252.000,00;;;114.360.077,00;Não;;;;;;Não;;Não;;;;77;292,15
270460;Maravilha;AL;Nordeste    ;;2020;27046040;SECRETARIA MUNICIPAL DE OBRAS, URBANISMO E LIMPEZA URBANA;SMOULU;Administração pública direta;9.004;4.498;Não;;Não;1.967.195,28;;;32.786.598,23;;;;;;;Sim;;Não;;;;0;437,35
270470;Marechal Deodoro;AL;Nordeste    ;RM Maceió;2020;27047040;Prefeitura Municipal de Marechal Deodoro;PMMD;Administração pública direta;52.380;49.435;Sim;8.800;Não;3.874.627,96;;;225.886.421,12;;;;;Sim;;Não;;Não;;Municipal;;120;78,38
270480;Maribondo;AL;Nordeste    ;;2020;27048040;Prefeitura Municipal de Maribondo;PMM;Administração pública direta;13.193;9.666;Não;;Não;327.073,92;;;2.016.716,49;Não;;;;;;Sim;;Sim;;Intermunicipal;;0;33,84
270490;Mar Vermelho;AL;Nordeste    ;;2020;27049040;Prefeitura Municipal de Mar Vermelho;PMMV;Administração pública direta;3.494;1.567;Não;;Não;328.790,59;;;20.759.093,66;;;;;;;Não;;Não;;;;2;209,82
270500;Mata Grande;AL;Nordeste    ;;2020;27050040;Prefeitura Municipal de Mata Grande;PMMG;Administração pública direta;25.207;5.791;Não;;Não;704.224,00;;;65.239.190,96;Não;;;Sim;;;Sim;;Não;set/18;;;0;121,61
270510;Matriz de Camaragibe;AL;Nordeste    ;;2020;27051040;Prefeitura Municipal de Matriz de Camaragibe;PMMC;Empresa pública;24.634;22.885;Não;;Não;7.000.000,00;;;37.000.000,00;Não;;;;;;Não;;Não;;;;0;305,88
270530;Minador do Negrão;AL;Nordeste    ;;2020;27053040;Prefeitura Municipal de Minador do Negrão;PMMN;Administração pública direta;5.322;2.272;Não;;Não;57.630,00;;;45.127.408,35;Não;;;;;;Sim;;Não;;;;12;25,37
270540;Monteirópolis;AL;Nordeste    ;;2020;27054040;prefeitura municipal de monteiropolis;PMM;Administração pública direta;7.165;2.598;Não;;Não;618.214,13;;;24.785.617,99;Não;;;;;;Sim;;Não;;;;0;237,96
270570;Olho d Água das Flores;AL;Nordeste    ;;2020;27057040;PREFEITURA MUNICIPAL DE OLHO D´ÁGUA DAS FLORES;PMOAF;Administração pública direta;21.738;14.933;Não;;Não;1.376.294,40;;;80.000.000,00;Não;;;Não;;;Sim;;Não;;;;38;92,16
270580;Olho d Água do Casado;AL;Nordeste    ;;2020;27058040;Prefeitura Municipal de Olho D Água do Casado;PMODÁC;Empresa pública;9.441;4.478;Não;;Não;154.500,00;;;57.257.964,13;Não;;;;;;Sim;;Não;;;;0;34,5
270600;Olivença;AL;Nordeste    ;;2020;27060040;Prefeitura Municipal de Olivença;PMO;Administração pública direta;11.657;3.310;Não;;Não;790.000,00;;;29.348.272,00;Não;;;;;;Sim;;Sim;mar/15;Intermunicipal;;0;238,67
270610;Ouro Branco;AL;Nordeste    ;;2020;27061040;SECRETARIA DE OBRAS;SMOV;Administração pública direta;11.535;7.273;Não;;Não;1.226.000,00;;;29.063.748,84;;;;;;;Não;;Sim;;Municipal;;28;168,57
270620;Palestina;AL;Nordeste    ;;2020;27062040;Prefeitura Municipal de Palestina;PMP;Administração pública direta;5.037;3.190;Não;;Não;380.790,86;;;22.776.195,82;Não;;;;;;Não;;Não;;;;0;119,37
270630;Palmeira dos Índios;AL;Nordeste    ;RM Agreste;2020;27063040;SECRETARIA MUNICIPAL DE SERVIÇOS PÚBLICOS E CONVÍVIO URBANO;SPCU;Administração pública direta;73.337;53.788;Sim;30.000;Sim;4.689.483,72;1.629.395,80;161.158,68;213.115.949,72;Não;;;Sim;;;Sim;;Sim;out/16;Intermunicipal;[20 municípios]: Taquarana - AL, Arapiraca - AL, Traipu - AL, Estrela de Alagoas - AL, Craíbas - AL, Campo Grande - AL, Belém - AL, Girau do Ponciano - AL, Lagoa da Canoa - AL, Limoeiro de Anadia - AL, Palmeira dos Índios - AL, Igaci - AL, Minador do Negrão - AL, São Sebastião - AL, Feira Grande - AL, Coité do Nóia - AL, Tanque d Arca - AL, Maribondo - AL, Quebrangulo - AL, Olho d Água Grande - AL;0;87,18
270640;Pão de Açúcar;AL;Nordeste    ;;2020;27064040;SECRETARIA MUNICIPAL DE VIAÇÃO, OBRAS E SERVIÇOS PÚBLICOS;SEVOSP;Administração pública direta;24.351;11.013;Não;;Não;2.700.000,00;;;108.588.606,40;Não;;;;;;Sim;;Sim;mar/15;Intermunicipal;;0;245,16
270642;Pariconha;AL;Nordeste    ;;2020;27064240;Prefeitura Municipal de Pariconha;PMP;Administração pública direta;10.539;2.871;Não;;Não;426.800,00;;;31.439.208,89;Não;;;;;;Sim;;Sim;jul/16;Intermunicipal;;4;148,66
270650;Passo de Camaragibe;AL;Nordeste    ;;2020;27065040;Prefeitura Municipal de Passo de Camaragibe;PMPC;Administração pública direta;15.258;7.470;Sim;;Não;1.179.700,00;;;12.871.254,00;Não;;;;;;Não;;Não;;;;0;157,93
270660;Paulo Jacinto;AL;Nordeste    ;;2020;27066040;Prefeitura Municipal de Paulo Jacinto;PMPJ;Administração pública direta;7.560;4.997;Não;;Não;335.000,00;;;3.358.835,10;Não;;;;;;Não;;Não;;;;0;67,04
270670;Penedo;AL;Nordeste    ;;2020;27067040;Secretaria Municipal de Serviços Públicos;SEMSP;Administração pública direta;63.846;47.606;Não;;Não;2.359.498,00;;;629.451.629,00;Não;;;Sim;;;Não;;Não;;;;54;49,56
270680;Piaçabuçu;AL;Nordeste    ;;2020;27068040;Prefeitura Municipal de Piaçabuçu-AL;PMP;Administração pública direta;17.848;10.827;Não;;Não;1.658.328,00;;;66.210.586,39;Não;;;Sim;Sim;Não;Não;;Não;;;;53;153,17
270690;Pilar;AL;Nordeste    ;RM Maceió;2020;27069040;Secretaria Municipal de Urbanismo;SMU;Administração pública direta;35.212;33.622;Não;;Não;5.974.493,38;;;137.999.820,45;Não;;;;;;Sim;;Sim;out/16;Intermunicipal;[9 municípios]: Barra de Santo Antônio - AL, Pilar - AL, Messias - AL, Rio Largo - AL, Satuba - AL, Coqueiro Seco - AL, Marechal Deodoro - AL, Paripueira - AL, Santa Luzia do Norte - AL;0;177,7
270700;Pindoba;AL;Nordeste    ;;2020;27070040;Prefeitura Municipal de Pindoba;PMP;Administração pública direta;2.905;1.659;Não;;Não;75.000,00;;;2.000.000,00;Não;;;;;;Não;;Não;;;;0;45,21
270710;Piranhas;AL;Nordeste    ;;2020;27071040;Prefeitura Municipal;PM;Administração pública direta;25.183;14.413;Sim;;Não;303.593,40;;;78.426.995,00;Não;;;;Sim;Não;Sim;;Sim;;Intermunicipal;[7 municípios]: Canapi - AL, Olho d Água do Casado - AL, Inhapi - AL, Pariconha - AL, Mata Grande - AL, Água Branca - AL, Delmiro Gouveia - AL;0;21,06
270720;Poço das Trincheiras;AL;Nordeste    ;;2020;27072040;Prefeitura Municipal de Poço Das Trincheiras;PMPT;Administração pública direta;14.418;2.123;Não;;Não;735.053,00;;;36.752.656,00;Não;;;;;;Sim;;Não;;;;0;346,23
270730;Porto Calvo;AL;Nordeste    ;;2020;27073040;Prefeitura Municipal de Porto Calvo;PMPC;Administração pública direta;27.249;21.408;Não;;Não;7.800.000,00;;;46.000.000,00;;;;;;;Não;;Não;;;;0;364,35
270740;Porto de Pedras;AL;Nordeste    ;;2020;27074040;Prefeitura Municipal de Porto de Pedras;PMPP;Administração pública direta;7.701;4.384;Não;;Não;96.000,00;;;480.000,00;;;;;;;Não;;Sim;;Municipal;;0;21,9
270760;Quebrangulo;AL;Nordeste    ;;2020;27076040;Secretaria Municipal de Obras e Infraestrutura;SMOI;Administração pública direta;11.248;6.343;Sim;;Sim;143.406,70;381.680,00;35.805,94;69.067.002,00;Não;;;Sim;;;Sim;;Não;;;;41;22,61
270770;Rio Largo;AL;Nordeste    ;RM Maceió;2020;27077040;Secretaria de Obras e Urbanismo;SMOU;Administração pública direta;75.394;61.595;Não;;Não;1.559.116,25;;;20.000.000,00;Não;;;Sim;;;Sim;;Não;;;;0;25,31
270780;Roteiro;AL;Nordeste    ;;2020;27078040;Prefeitura Municipal de Roteiro;PMR;Administração pública direta;6.649;5.824;Sim;3.000;Não;136.144,47;;;12.000.000,00;Não;;;Não;;;Sim;;Sim;dez/16;Intermunicipal;[12 municípios]: Coruripe - AL, Campo Alegre - AL, Teotônio Vilela - AL, São Brás - AL, Jequiá da Praia - AL, Piaçabuçu - AL, Roteiro - AL, Feliz Deserto - AL, Junqueiro - AL, Igreja Nova - AL, Porto Real do Colégio - AL, Penedo - AL;0;23,38
270790;Santa Luzia do Norte;AL;Nordeste    ;RM Maceió;2020;27079040;Prefeitura Municipal de Santa Luzia do Norte;PMSLN;Administração pública direta;7.320;6.556;Não;;Não;135.000,00;;;14.000.000,00;Não;;;;;;Não;;Não;;;;30;20,59
270800;Santana do Ipanema;AL;Nordeste    ;;2020;27080040;Secretaria Municipal de Infraestrutura;SMI;Administração pública direta;47.819;28.932;Não;;Sim;4.699.615,42;45.785,00;11.145,00;143.233.835,01;Não;;;Sim;Sim;Não;Sim;;Sim;out/16;Intermunicipal;[19 municípios]: Jaramataia - AL, Dois Riachos - AL, Senador Rui Palmeira - AL, Olivença - AL, Jacaré dos Homens - AL, Monteirópolis - AL, Maravilha - AL, Poço das Trincheiras - AL, Pão de Açúcar - AL, Canapi - AL, Major Isidoro - AL, Olho d Água das Flores - AL, São José da Tapera - AL, Cacimbinhas - AL, Carneiros - AL, Palestina - AL, Batalha - AL, Ouro Branco - AL, Belo Monte - AL;57;162,44
270810;Santana do Mundaú;AL;Nordeste    ;;2020;27081040;Prefeitura Municipal;PM;Administração pública direta;10.687;5.517;Não;;Não;90.000,00;;;500.000,00;Não;;;;Sim;O primeiro ano previsto para as metas é posterior a este ano de referência;Sim;;Sim;jun/21;Intermunicipal;;0;16,31
270840;São José da Tapera;AL;Nordeste    ;;2020;27084040;Prefeitura Municipal de São José da    Tapera;PMSJT;Administração pública direta;32.405;12.533;Sim;2.000;Não;2.303.833,60;;;82.247.360,81;Não;;;;;;Sim;;Não;;Intermunicipal;;22;183,82
270860;São Miguel dos Campos;AL;Nordeste    ;;2020;27086040;Prefeitura Municipal de São Miguel dos Campos;PMSMC;Administração pública direta;61.797;59.520;Sim;;Sim;3.385.800,00;;98.308,58;204.768.292,38;;;;;;;Sim;;Sim;ago/16;Intermunicipal;;0;56,89
270870;São Miguel dos Milagres;AL;Nordeste    ;;2020;27087040;Prefeitura Municipal São Miguel dos Milagres;PMSMM;Administração pública direta;8.013;2.529;Não;;Sim;1.200.000,00;50.000,00;150.000,00;32.460.699,00;Não;;;;;;Não;;Não;;;;0;474,5
270880;São Sebastião;AL;Nordeste    ;RM Agreste;2020;27088040;Prefeitura Municipal de São Sebastião;PMSS;Administração pública direta;34.290;13.186;Não;;Não;1.259.544,00;;;72.458.932,65;Não;;;;;;Sim;;Não;;;;0;95,52
270890;Satuba;AL;Nordeste    ;RM Maceió;2020;27089040;Prefeitura Municipal de Satuba;PMS;Administração pública direta;13.936;12.208;Não;;Não;437.331,00;;;60.169.021,44;Não;;;;;;Não;;Não;;;;5;35,82
270895;Senador Rui Palmeira;AL;Nordeste    ;;2020;27089540;Prefeitura Municipal de Senador Rui Palmeira;PMSRP;Administração pública direta;13.921;4.208;Não;;Não;1.405.072,00;;;35.126.871,00;;;;;;;Sim;;Não;;;;0;333,9
270900;Tanque d Arca;AL;Nordeste    ;RM Agreste;2020;27090040;Prefeitura Municipal de Tanque D Arca;PMTdA;Administração pública direta;6.138;2.146;Não;;Não;87.000,00;;;24.067.342,51;Não;;;;;;Não;;Sim;;Municipal;;0;40,54
270910;Taquarana;AL;Nordeste    ;RM Agreste;2020;27091040;Secretaria Municipal de Obras e Infraestutura;SMOI;Administração pública direta;20.072;7.719;Não;;Não;529.197,92;;;75.000.000,00;Não;;;;;;Sim;;Não;;;;0;68,56
270915;Teotônio Vilela;AL;Nordeste    ;;2020;27091540;Prefeitura Municipal de Teotônio Vilela;PMTV;Administração pública direta;44.372;37.507;Não;;Não;1.236.000,00;;;12.500.000,00;Não;;;;;;Não;;Não;;;;0;32,95
270920;Traipu;AL;Nordeste    ;RM Agreste;2020;27092040;Prefeitura Municipal de Traipu;PMT;Administração pública direta;27.826;8.690;Não;;Não;580.000,00;;;69.554.385,00;Não;;;;;;Sim;;Sim;mai/14;Intermunicipal;;0;66,74
270930;União dos Palmares;AL;Nordeste    ;;2020;27093040;Prefeitura Municipal;PM;Administração pública direta;65.790;50.274;Não;;Não;1.288.873,62;;;177.452.201,02;;;;;;;Sim;;Sim;ago/13;Intermunicipal;[12 municípios]: Capela - AL, Ibateguara - AL, Branquinha - AL, Murici - AL, Atalaia - AL, Cajueiro - AL, Pindoba - AL, Santana do Mundaú - AL, Mar Vermelho - AL, Paulo Jacinto - AL, União dos Palmares - AL, Chã Preta - AL;0;25,64
270940;Viçosa;AL;Nordeste    ;;2020;27094040;Secretaria de Infraestrutura;SEINFRA;Empresa pública;25.693;18.519;Não;;Não;1.144.929,66;;;11.144.929,66;Não;;;;;;Sim;;Não;;;;0;61,82
290030;Acajutiba;BA;Nordeste    ;;2020;29003040;Prefeitura Municipal de Acajutiba;PMA;Administração pública direta;15.187;13.240;Não;;Não;640.600,00;;;47.206.931,07;Não;;;;;;Não;;Não;;;;25;48,38
290035;Adustina;BA;Nordeste    ;;2020;29003540;PREFEITURA MUNICIPAL DE ADUSTINA;PMA;Administração pública direta;17.126;6.077;Não;;Sim;1.231.710,80;1.000,00;972;42.032.683,40;Não;;;;;;Não;;Não;;;;9;202,68
290050;Érico Cardoso;BA;Nordeste    ;;2020;29005040;Prefeitura Municipal de Érico Cardoso;PMEC;Empresa pública;10.560;1.960;Não;;Não;980.000,00;;;27.777.869,96;;;;;;;Sim;;Não;;;;20;500
290060;Aiquara;BA;Nordeste    ;;2020;29006040;Prefeitura Municipal de Aiquara;PMA;Administração pública direta;4.416;2.572;Não;;Não;549.024,00;;;15.477.648,43;;;;;;;Não;;Não;;;;0;213,46
290070;Alagoinhas;BA;Nordeste    ;;2020;29007040;SECRETARIA DE SERVIÇOS PÚBLICOS;SESEP;Administração pública direta;152.327;133.111;Sim;80.000;Não;13.558.552,00;;;343.005.807,09;Não;;;;;;Não;;Sim;;Municipal;;178;101,86
290100;Amargosa;BA;Nordeste    ;;2020;29010040;PREFEITURA MUNICIPAL DE AMARGOSA;PMA;Administração pública direta;37.441;27.130;Sim;18.000;Não;3.915.021,48;;;90.896.490,00;Não;;;;;;Não;;Não;;;;85;144,31
290110;Amélia Rodrigues;BA;Nordeste    ;;2020;29011040;secretaria de obras, habitação e serviços publicos;SOSP;Administração pública direta;25.048;19.844;Sim;8.000;Não;1.070.000,00;;;60.000.000,00;Não;;;;;;Não;;Não;;;;43;53,92
290115;América Dourada;BA;Nordeste    ;;2020;29011540;PREFEITURA MUNICIPAL DE AMERICA DOURADA;PMAD;Empresa pública;16.090;10.920;Não;;Não;1.040.000,00;;;17.950.000,00;Não;;;Não;;;Sim;;Não;;;;83;95,24
290120;Anagé;BA;Nordeste    ;;2020;29012040;Prefeitura Municipal de Anagé;PMA;Administração pública direta;21.607;4.170;Não;;Não;1.604.460,00;;;46.457.876,26;Não;;;;;;Não;;Não;;;;2;384,76
290130;Andaraí;BA;Nordeste    ;;2020;29013040;Prefeitura Municipal de Andaraí;PMA;Administração pública direta;13.132;7.312;Não;;Não;1.225.718,27;;;35.181.081,96;Não;;;;;;Não;;Sim;;Municipal;;0;167,63
